,Particles,z median,z min,z max,T_s mean,T_s std,T_s median,T_s min,T_s max,X mean,X std,X median,X min,X max
100,8192.0,-4950.0222879551675,-5492.897725732681,-3115.6953769159486,119.045166015625,116.4921805779782,85.0,0.0,1105.0,212247.33552554937,156129.74960796727,187006.27768894134,154.62232183589518,1195266.8880830365
1000,8192.0,-4634.582599658053,-5495.58294032956,-1140.9295256698006,1141.559814453125,1053.1294018066226,807.5,0.0,4402.0,545775.3617649877,375534.1180765641,468681.3736023853,649.6496115458041,3872416.2886222294
10000,8192.0,-4123.204920216056,-5484.762455489719,-9.0,3674.337890625,1287.3911723347012,4402.0,3.0,4402.0,956081.8747460541,682707.0896657215,789449.2975281788,14693.517185845663,7052479.159699347
23000,8192.0,-4040.5838458904573,-5495.211747527972,-303.27109784392906,4059.7950439453125,947.4400747148248,4402.0,4.0,4402.0,1029578.3526320494,699086.7660447955,860531.9169256894,2219.465999773064,7486441.350030665
